Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-03 00:00:00+01:00,2.1393952217403074,2.3622488818161806,2.0948243197012832,2.2731072902679443,120000,0.0,0.0
2000-01-04 00:00:00+01:00,2.273107289705145,2.273107289705145,2.0502536296844482,2.0502536296844482,125000,0.0,0.0
2000-01-05 00:00:00+01:00,2.050253415901435,2.1839656829833984,2.050253415901435,2.1839656829833984,75000,0.0,0.0
2000-01-06 00:00:00+01:00,2.228536593506976,2.228536593506976,1.8719706535339355,1.8719706535339355,45000,0.0,0.0
2000-01-07 00:00:00+01:00,2.1839656829833984,2.1839656829833984,2.1839656829833984,2.1839656829833984,25000,0.0,0.0
2000-01-10 00:00:00+01:00,2.1839656829833984,2.1839656829833984,2.1839656829833984,2.1839656829833984,75000,0.0,0.0
2000-01-11 00:00:00+01:00,2.219621992983002,2.2285361289978027,2.219621992983002,2.2285361289978027,15000,0.0,0.0
2000-01-12 00:00:00+01:00,2.1839656829833984,2.1839656829833984,2.1839656829833984,2.1839656829833984,15000,0.0,0.0
2000-01-13 00:00:00+01:00,2.0948240756988525,2.0948240756988525,2.0948240756988525,2.0948240756988525,100000,0.0,0.0
2000-01-14 00:00:00+01:00,2.0324251651763916,2.0324251651763916,2.0324251651763916,2.0324251651763916,15000,0.0,0.0
2000-01-17 00:00:00+01:00,2.0324252408397734,2.0324252408397734,1.9611121416091917,1.961112141609192,20000,0.0,0.0
2000-01-18 00:00:00+01:00,1.9611120225203347,2.0056827068328857,1.9611120225203347,2.0056827068328857,94000,0.0,0.0
2000-01-20 00:00:00+01:00,1.9789404164168372,2.0056828286283053,1.9611121416091917,1.961112141609192,38000,0.0,0.0
2000-01-21 00:00:00+01:00,1.9611121416091917,1.9789404164168372,1.9611121416091917,1.961112141609192,45000,0.0,0.0
2000-01-24 00:00:00+01:00,2.0056827068328857,2.130480835437816,2.0056827068328857,2.0056827068328857,95000,0.0,0.0
2000-01-25 00:00:00+01:00,1.9611121416091917,1.9611121416091917,1.782829181002938,1.961112141609192,36000,0.0,0.0
2000-01-26 00:00:00+01:00,2.0056827068328857,2.0056827068328857,1.7828290727403429,2.0056827068328857,93816,0.0,0.0
2000-01-27 00:00:00+01:00,1.9611121416091917,2.0056828286283053,1.782829181002938,1.961112141609192,180000,0.0,0.0
